Código de artículo;Nombre del producto;Sección de producción;Nombre de búsqueda;Tipo de producto;Subtipo de producto;Grupo de dimensiones de producto;Código 1;Código 2;Código 3;Código 4;Grupo 1;Grupo 2;Tipo de producción
40100114;PES AZUL RAL-5003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100115;PES AZUL MOTEADO C-II;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100116;PES AZUL RAL-5004 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100117;PES BLANCO NIEVE NG C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100118;PES AZUL RAL-5009 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100119;HIBRIDO AZUL RAL-5013;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100120;PES AMARILLO RAL-1018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100121;PES MARRON 8019 C-III 68-S;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100122;PES TEST.GRIS GRANITO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100123;"HIBRIDO NARANJA S/M ""RAPIDO""";5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100124;PES MARRON RAL-8015 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100125;BLANCO LISO BRILLANTE BLANCO LACADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100126;BLANCO LISO BRILLANTE RAL-9010 LT;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100127;PES MARRON RAL-1036 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100128;PES RAL-3000 SP C-III /47 NS 22;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100129;PES AZUL RAL-5001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100130;PES AZUL RAL-5015 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100131;PES NEGRO ANODIZADO BRONCE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100132;PES GRIS RAL-7037 METALIZADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100133;PES BEIGE S/M C-III (/22);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100134;PES BLANCO GHIACCIO SIMBAC (/25);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100135;PES AZUL RAL 5014 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100136;PES BEIGE RAL 1019 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100137;PES MARRON RAL 8008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100138;PES MARRON RAL 8011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100139;PES VERDE RAL 6020 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100140;PES GRIS INOX RX-7320-XW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100141;PES GRIS RAL 7006 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100142;PES NEGRO RAL 9011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100143;PES AMARILLO RAL 1023 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100144;PES GRIS TITANIO RAL HX-7136-X;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100145;PES AZUL RAL 5005 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100146;PES GRIS OSCURO MOTEADO PM-7315-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100147;PES ROJO SALMON RAL 3012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100148;PES AZUL RAL RX-5025-XW METALIZADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100149;PES GRIS GRAFITO MOTEADO RX-7131-IW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100150;PES REACTIVO AZUL RAL 5012 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100151;PES GRIS RX-7140-IW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100152;PES ROJO RAL 3011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100153;HIBRIDO FUTURE TIRANTES GAVIOTA;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100154;PES AZUL RAL 5000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100155;PES VERDE RAL 6003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100156;PES AZUL RAL 5023 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100157;PES ROJO RAL 3003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100159;PES ROJO RAL 3013 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100160;PES VERDE RAL 6033 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100161;PES VERDE RAL 6015 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100162;PES GRIS RAL 7021 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100163;PES VERDE RAL 6016 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100164;PES COBRE MET. RAL RX-2103-XW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100165;PES GRIS RAL 7045 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100166;PES GRIS FORJA RF-7107-XW;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100167;PES AZUL RAL 5017 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100168;PES GRIS RAL 9018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100169;PES VIOLETA RAL 4008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100170;PES VERDE RAL 6008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100171;PES GRIS RAL 7003 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100172;PES AZUL RAL 5020 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100173;PES GRIS RAL 7008 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100175;PES AMARILLO RAL 1007 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100176;PES GRIS METALIZADO RAL 9023;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100177;PES MARRON LBU HBS C-I RM-8119;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100178;PES VERDE RAL 6001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100179;PES NARANJA RAL 2000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100180;PES GRIS RAL 7030 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100181;PES VERDE RAL 6018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100182;PES GRIS S/M RCA1 (EL CAIRO);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100183;PES VERDE RAL 6026 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100184;PES VERDE RAL 6028 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100185;PES GRIS RAL 7023 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100186;PES ORO LISO METALICO PC010 (SX004E);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100187;PES GRIS RAL 7000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100188;PES VERDE RAL 6024 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100189;PES MARRON RAL 8025 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100190;PES VERDE RAL 6010 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100191;PES GRIS RAL 7022 MATE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100192;PES BRONCE TEXTURADO;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100193;PES VERDE RAL 6011 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100194;PES NARANJA RAL 2001 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100196;PES GRIS RAL 9006 MATE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100197;PES BEIGE RAL 1000 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100198;PES MARFIL RAL 1014 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100199;PES MARRON RAL 8017 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100200;PINTURA RAL ESPECIAL;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100201;PES MARRON RAL 8011 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100202;PES GRIS RAL-7024 C-I (MATE);5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100203;PES AMARILLO RAL 1017 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100204;PES NARANJA RAL 2002 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100205;PES AZUL RAL-5018 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100206;PES ROJO RAL 3001 RB;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100207;PES METALIZADO GRIS 9006 VIVENDI C-I GG;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100208;PES MARRON RAL 8023 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100209;PES AZUL RAL 5022 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100210;PES GRIS RAL 7006 MATE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100211;PES AMARILLO RAL 1024 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100212;PES BEIGE SABLE C-I;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100213;PES AZUL BLEU 600 SABLE;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
40100214;PES VERDE RAL 6019 C-III;5;;Artículo;Producto;;Toldo;;;C;;;Ninguno
